"","row","column","cor","p","fdr"
"98","Atopobium parvulum","Porphyromonas crevioricanis",-0.28235011967,0.024,0.117501706484642
"99","Bacteroides caccae","Porphyromonas crevioricanis",0.348077941782,0.006,0.0457211155378486
"100","Bacteroides cellulosilyticus","Porphyromonas crevioricanis",0.157838114023,0.231,0.472541176470588
"101","Bacteroides fragilis","Porphyromonas crevioricanis",0.159258345928,0.217,0.454432846715328
"102","Bacteroides thetaiotaomicron","Porphyromonas crevioricanis",0.280039454055,0.036,0.15194409709452
"103","Butyricimonas faecalis","Porphyromonas crevioricanis",0.53156313636,0,0
"104","Odoribacter splanchnicus","Porphyromonas crevioricanis",0.244363196031,0.066,0.223031802120141
"105","Porphyromonas asaccharolytica","Porphyromonas crevioricanis",0.677559323453,0,0
"106","Bifidobacterium adolescentis","Porphyromonas gingivalis",-0.334735498087,0.005,0.0400978336827393
"107","Bifidobacterium angulatum","Porphyromonas gingivalis",-0.311967965816,0.013,0.0781907756813417
"108","Bifidobacterium breve","Porphyromonas gingivalis",-0.396914346545,0.001,0.0112399608227228
"109","Bifidobacterium catenulatum","Porphyromonas gingivalis",-0.442476402454,0,0
"110","Bifidobacterium longum","Porphyromonas gingivalis",-0.384157486726,0.001,0.0112399608227228
"111","Bifidobacterium pseudocatenulatum","Porphyromonas gingivalis",-0.441443545091,0,0
"112","Atopobium parvulum","Porphyromonas gingivalis",-0.256769919657,0.047,0.180512717536814
"113","Bacteroides caccae","Porphyromonas gingivalis",0.389124207444,0.004,0.0337777777777778
"114","Bacteroides cellulosilyticus","Porphyromonas gingivalis",0.245241366669,0.057,0.204161048689139
"115","Bacteroides fragilis","Porphyromonas gingivalis",0.355935883397,0.007,0.0511017811704835
"116","Bacteroides thetaiotaomicron","Porphyromonas gingivalis",0.410135623772,0.002,0.0198718614718615
"117","Butyricimonas faecalis","Porphyromonas gingivalis",0.570904430253,0,0
"118","Odoribacter splanchnicus","Porphyromonas gingivalis",0.296625098604,0.017,0.0941109503135552
"119","Porphyromonas asaccharolytica","Porphyromonas gingivalis",0.64324461497,0,0
"120","Porphyromonas crevioricanis","Porphyromonas gingivalis",0.872327208938,0,0
"121","Bifidobacterium adolescentis","Prevotella intermedia",-0.118051176789,0.374,0.614815069474287
"122","Bifidobacterium angulatum","Prevotella intermedia",-0.00824531279752,0.939,0.971682957619477
"123","Bifidobacterium breve","Prevotella intermedia",-0.253232623481,0.045,0.175474006116208
"124","Bifidobacterium catenulatum","Prevotella intermedia",-0.326473536409,0.007,0.0511017811704835
"125","Bifidobacterium longum","Prevotella intermedia",-0.254908847581,0.034,0.146630590003758
"126","Bifidobacterium pseudocatenulatum","Prevotella intermedia",-0.277607716771,0.031,0.137623210831721
"127","Atopobium parvulum","Prevotella intermedia",-0.0192910943586,0.881,0.947549765698219
"128","Bacteroides caccae","Prevotella intermedia",0.250870327589,0.05,0.18850197109067
"129","Bacteroides cellulosilyticus","Prevotella intermedia",-0.0288152946895,0.826,0.922278264253746
"130","Bacteroides fragilis","Prevotella intermedia",0.0348326064273,0.789,0.900772383605253
"131","Bacteroides thetaiotaomicron","Prevotella intermedia",0.192326021578,0.139,0.354480888888889
"132","Butyricimonas faecalis","Prevotella intermedia",0.482467388091,0,0
"133","Odoribacter splanchnicus","Prevotella intermedia",0.0750951432341,0.57,0.771928251121076
"134","Porphyromonas asaccharolytica","Prevotella intermedia",0.788184487821,0,0
"135","Porphyromonas crevioricanis","Prevotella intermedia",0.767932056584,0,0
"136","Porphyromonas gingivalis","Prevotella intermedia",0.739398488097,0,0
"137","Bifidobacterium adolescentis","Prevotella scopos",-0.0848902582819,0.524,0.738205745150994
"138","Bifidobacterium angulatum","Prevotella scopos",0.023882603207,0.844,0.931590266423007
"139","Bifidobacterium breve","Prevotella scopos",-0.324530661257,0.012,0.0736427807486631
"140","Bifidobacterium catenulatum","Prevotella scopos",-0.294374018447,0.018,0.0977142857142857
"141","Bifidobacterium longum","Prevotella scopos",-0.24983298467,0.057,0.204161048689139
"142","Bifidobacterium pseudocatenulatum","Prevotella scopos",-0.28110528423,0.028,0.12899558410277
"143","Atopobium parvulum","Prevotella scopos",-0.00692048920538,0.949,0.97657137733142
"144","Bacteroides caccae","Prevotella scopos",0.290748780283,0.012,0.0736427807486631
"145","Bacteroides cellulosilyticus","Prevotella scopos",-0.0738166138094,0.59,0.783662037037037
"146","Bacteroides fragilis","Prevotella scopos",0.0397292232229,0.765,0.88938709350623
"147","Bacteroides thetaiotaomicron","Prevotella scopos",0.227057480859,0.096,0.282703618167821
"148","Butyricimonas faecalis","Prevotella scopos",0.516490602678,0,0
"149","Odoribacter splanchnicus","Prevotella scopos",0.162856649629,0.203,0.438476943346509
"150","Porphyromonas asaccharolytica","Prevotella scopos",0.822994015506,0,0
"151","Porphyromonas crevioricanis","Prevotella scopos",0.67707892886,0,0
"152","Porphyromonas gingivalis","Prevotella scopos",0.689833672647,0,0
"153","Prevotella intermedia","Prevotella scopos",0.934202922248,0,0
"154","Bifidobacterium adolescentis","Alistipes dispar",-0.344113418755,0.01,0.0652416145537237
"155","Bifidobacterium angulatum","Alistipes dispar",-0.40866450734,0.001,0.0112399608227228
"156","Bifidobacterium breve","Alistipes dispar",-0.126647273908,0.346,0.591405421507298
"157","Bifidobacterium catenulatum","Alistipes dispar",-0.23091642762,0.059,0.20904106205619
