"","row","column","cor","p","fdr"
"92","Bifidobacterium adolescentis","Porphyromonas crevioricanis",-0.298404897005,0.029,0.0955784032165422
"93","Bifidobacterium angulatum","Porphyromonas crevioricanis",-0.281514163627,0.051,0.144942050520059
"94","Bifidobacterium breve","Porphyromonas crevioricanis",-0.472188876486,0,0
"95","Bifidobacterium catenulatum","Porphyromonas crevioricanis",-0.250869956244,0.097,0.229094875488784
"96","Bifidobacterium longum","Porphyromonas crevioricanis",-0.295450788317,0.046,0.134324681933842
"97","Bifidobacterium pseudocatenulatum","Porphyromonas crevioricanis",-0.250287300041,0.091,0.219163903462749
"98","Atopobium parvulum","Porphyromonas crevioricanis",-0.369836091925,0.01,0.0437014470677837
"99","Bacteroides caccae","Porphyromonas crevioricanis",0.449673075483,0.001,0.00715907673112913
"100","Bacteroides cellulosilyticus","Porphyromonas crevioricanis",0.502254541858,0.001,0.00715907673112913
"101","Bacteroides fragilis","Porphyromonas crevioricanis",0.526027557652,0.002,0.0127157894736842
"102","Bacteroides thetaiotaomicron","Porphyromonas crevioricanis",0.587995276933,0,0
"103","Butyricimonas faecalis","Porphyromonas crevioricanis",0.80146915419,0,0
"104","Odoribacter splanchnicus","Porphyromonas crevioricanis",0.748063990104,0,0
"105","Porphyromonas asaccharolytica","Porphyromonas crevioricanis",0.585368725171,0,0
"106","Bifidobacterium adolescentis","Porphyromonas gingivalis",-0.307623211903,0.024,0.0829590361445783
"107","Bifidobacterium angulatum","Porphyromonas gingivalis",-0.300449220549,0.031,0.100609728506787
"108","Bifidobacterium breve","Porphyromonas gingivalis",-0.458989235378,0.002,0.0127157894736842
"109","Bifidobacterium catenulatum","Porphyromonas gingivalis",-0.279974707818,0.064,0.17120372960373
"110","Bifidobacterium longum","Porphyromonas gingivalis",-0.240333752619,0.089,0.215841927303466
"111","Bifidobacterium pseudocatenulatum","Porphyromonas gingivalis",-0.243590951576,0.097,0.229094875488784
"112","Atopobium parvulum","Porphyromonas gingivalis",-0.313887715791,0.037,0.114915290933694
"113","Bacteroides caccae","Porphyromonas gingivalis",0.51490871904,0,0
"114","Bacteroides cellulosilyticus","Porphyromonas gingivalis",0.509126461151,0,0
"115","Bacteroides fragilis","Porphyromonas gingivalis",0.611517771985,0,0
"116","Bacteroides thetaiotaomicron","Porphyromonas gingivalis",0.689026725674,0,0
"117","Butyricimonas faecalis","Porphyromonas gingivalis",0.782925187007,0,0
"118","Odoribacter splanchnicus","Porphyromonas gingivalis",0.772921001771,0,0
"119","Porphyromonas asaccharolytica","Porphyromonas gingivalis",0.568659108143,0.001,0.00715907673112913
"120","Porphyromonas crevioricanis","Porphyromonas gingivalis",0.945546568022,0,0
"121","Bifidobacterium adolescentis","Prevotella intermedia",-0.354872407899,0.01,0.0437014470677837
"122","Bifidobacterium angulatum","Prevotella intermedia",-0.223091876368,0.121,0.266525143953935
"123","Bifidobacterium breve","Prevotella intermedia",-0.457743284336,0.001,0.00715907673112913
"124","Bifidobacterium catenulatum","Prevotella intermedia",-0.346415820254,0.017,0.0649440745672437
"125","Bifidobacterium longum","Prevotella intermedia",-0.207472350266,0.163,0.326911569381335
"126","Bifidobacterium pseudocatenulatum","Prevotella intermedia",-0.288788944235,0.054,0.151
"127","Atopobium parvulum","Prevotella intermedia",-0.199828460731,0.192,0.364437975521006
"128","Bacteroides caccae","Prevotella intermedia",0.23882491305,0.114,0.25667333725721
"129","Bacteroides cellulosilyticus","Prevotella intermedia",0.430858123791,0.005,0.0261650706794346
"130","Bacteroides fragilis","Prevotella intermedia",0.559949820516,0,0
"131","Bacteroides thetaiotaomicron","Prevotella intermedia",0.489491149118,0,0
"132","Butyricimonas faecalis","Prevotella intermedia",0.515804178198,0,0
"133","Odoribacter splanchnicus","Prevotella intermedia",0.53226726461,0,0
"134","Porphyromonas asaccharolytica","Prevotella intermedia",0.328943072813,0.024,0.0829590361445783
"135","Porphyromonas crevioricanis","Prevotella intermedia",0.732410250052,0,0
"136","Porphyromonas gingivalis","Prevotella intermedia",0.805420233158,0,0
"137","Bifidobacterium adolescentis","Prevotella scopos",-0.204219498678,0.146,0.304248411113129
"138","Bifidobacterium angulatum","Prevotella scopos",-0.17004393558,0.239,0.423789245982695
"139","Bifidobacterium breve","Prevotella scopos",-0.352447908808,0.019,0.0705187580853816
"140","Bifidobacterium catenulatum","Prevotella scopos",-0.216312914841,0.156,0.31753387726144
"141","Bifidobacterium longum","Prevotella scopos",-0.273254314589,0.062,0.167100046970409
"142","Bifidobacterium pseudocatenulatum","Prevotella scopos",-0.114816724858,0.428,0.618216236626809
"143","Atopobium parvulum","Prevotella scopos",-0.037671429374,0.804,0.896667055393586
"144","Bacteroides caccae","Prevotella scopos",0.236087526016,0.117,0.261224124513619
"145","Bacteroides cellulosilyticus","Prevotella scopos",0.278161526862,0.052,0.147128205128205
"146","Bacteroides fragilis","Prevotella scopos",0.29816702083,0.043,0.128140223318619
"147","Bacteroides thetaiotaomicron","Prevotella scopos",0.503345075639,0,0
"148","Butyricimonas faecalis","Prevotella scopos",0.568690893493,0,0
"149","Odoribacter splanchnicus","Prevotella scopos",0.442946595848,0,0
"150","Porphyromonas asaccharolytica","Prevotella scopos",0.294010568232,0.037,0.114915290933694
"151","Porphyromonas crevioricanis","Prevotella scopos",0.742265677959,0,0
"152","Porphyromonas gingivalis","Prevotella scopos",0.739758248295,0,0
"153","Prevotella intermedia","Prevotella scopos",0.739991775657,0,0
"154","Bifidobacterium adolescentis","Alistipes dispar",-0.303286424326,0.036,0.113002188183807
"155","Bifidobacterium angulatum","Alistipes dispar",-0.142410531409,0.362,0.556132797858099
"156","Bifidobacterium breve","Alistipes dispar",-0.429954592407,0.001,0.00715907673112913
"157","Bifidobacterium catenulatum","Alistipes dispar",-0.194280721795,0.189,0.360952571143285
"158","Bifidobacterium longum","Alistipes dispar",-0.231436643902,0.123,0.270463307146963
"159","Bifidobacterium pseudocatenulatum","Alistipes dispar",-0.365877765971,0.012,0.0502231947483589
"160","Atopobium parvulum","Alistipes dispar",-0.384414337218,0.005,0.0261650706794346
"161","Bacteroides caccae","Alistipes dispar",0.459640626249,0.002,0.0127157894736842
"162","Bacteroides cellulosilyticus","Alistipes dispar",0.489207808602,0,0
"163","Bacteroides fragilis","Alistipes dispar",0.689431858925,0,0
"164","Bacteroides thetaiotaomicron","Alistipes dispar",0.526045643911,0,0
"165","Butyricimonas faecalis","Alistipes dispar",0.639076749227,0,0
"166","Odoribacter splanchnicus","Alistipes dispar",0.649242105153,0,0
"167","Porphyromonas asaccharolytica","Alistipes dispar",0.398561061256,0.006,0.0299634464751958
"168","Porphyromonas crevioricanis","Alistipes dispar",0.608045489976,0,0
"169","Porphyromonas gingivalis","Alistipes dispar",0.611663388002,0,0
"170","Prevotella intermedia","Alistipes dispar",0.482603079608,0,0
"171","Prevotella scopos","Alistipes dispar",0.280756226273,0.053,0.149221786064769
"172","Bifidobacterium adolescentis","Alistipes finegoldii",-0.435193900348,0.003,0.0175295315682281
"173","Bifidobacterium angulatum","Alistipes finegoldii",-0.379506952246,0.006,0.0299634464751958
"174","Bifidobacterium breve","Alistipes finegoldii",-0.260654357397,0.066,0.174600276625173
"175","Bifidobacterium catenulatum","Alistipes finegoldii",-0.436079231294,0,0
"176","Bifidobacterium longum","Alistipes finegoldii",-0.161334472353,0.278,0.466900043904581
"177","Bifidobacterium pseudocatenulatum","Alistipes finegoldii",-0.428206762123,0.002,0.0127157894736842
"178","Atopobium parvulum","Alistipes finegoldii",-0.313026008546,0.031,0.100609728506787
"179","Bacteroides caccae","Alistipes finegoldii",0.427084173172,0.002,0.0127157894736842
"180","Bacteroides cellulosilyticus","Alistipes finegoldii",0.584824750834,0,0
"181","Bacteroides fragilis","Alistipes finegoldii",0.690282100629,0,0
"182","Bacteroides thetaiotaomicron","Alistipes finegoldii",0.492086367632,0,0
"183","Butyricimonas faecalis","Alistipes finegoldii",0.520814422715,0,0
"184","Odoribacter splanchnicus","Alistipes finegoldii",0.526997008307,0,0
"185","Porphyromonas asaccharolytica","Alistipes finegoldii",0.229223248281,0.115,0.2582156133829
"186","Porphyromonas crevioricanis","Alistipes finegoldii",0.400740622053,0.008,0.0368263136782992
"187","Porphyromonas gingivalis","Alistipes finegoldii",0.43420244773,0.004,0.0217967711301045
"188","Prevotella intermedia","Alistipes finegoldii",0.322518857369,0.028,0.0930576310454677
"189","Prevotella scopos","Alistipes finegoldii",0.124276526529,0.432,0.62188058203713
"190","Alistipes dispar","Alistipes finegoldii",0.724740317965,0,0
"191","Bifidobacterium adolescentis","Alistipes megaguti",-0.316928643514,0.039,0.119223228556207
"192","Bifidobacterium angulatum","Alistipes megaguti",-0.311010787941,0.031,0.100609728506787
"193","Bifidobacterium breve","Alistipes megaguti",-0.520808163481,0,0
"194","Bifidobacterium catenulatum","Alistipes megaguti",-0.356016571684,0.017,0.0649440745672437
"195","Bifidobacterium longum","Alistipes megaguti",-0.384992707664,0.005,0.0261650706794346
"196","Bifidobacterium pseudocatenulatum","Alistipes megaguti",-0.408843570437,0.003,0.0175295315682281
"197","Atopobium parvulum","Alistipes megaguti",-0.329359526984,0.039,0.119223228556207
"198","Bacteroides caccae","Alistipes megaguti",0.476042632583,0,0
"199","Bacteroides cellulosilyticus","Alistipes megaguti",0.464044304952,0,0
"200","Bacteroides fragilis","Alistipes megaguti",0.579966543109,0,0
"201","Bacteroides thetaiotaomicron","Alistipes megaguti",0.568550583136,0,0
